,지역,휘발유,경유,전기,하이브리드,합계,연도,월별
0,서울,1643609,707337,35620,139756,2526322,2022,1
1,부산,707595,348578,10013,55494,1121680,2022,1
2,대구,582040,280781,13613,45117,921551,2022,1
3,인천,809521,415808,10976,82066,1318371,2022,1
4,광주,310583,164638,4103,22559,501883,2022,1
5,대전,339190,152527,6334,22624,520675,2022,1
6,울산,295242,141835,2556,18446,458079,2022,1
7,세종,93467,46559,1767,10317,152110,2022,1
8,경기,3028563,1500695,31323,241357,4801938,2022,1
9,강원,361292,192644,5745,22540,582221,2022,1
10,충북,400217,203643,5834,24207,633901,2022,1
11,충남,519824,266539,7459,30650,824472,2022,1
12,전북,395115,223798,4843,23964,647720,2022,1
13,전남,458102,275777,7370,34384,775633,2022,1
14,경북,649773,316134,7758,34835,1008500,2022,1
15,경남,876458,415122,9678,51209,1352467,2022,1
16,제주,294219,160592,21366,27353,503530,2022,1
17,전국,11764810,5813007,186358,886878,18651053,2022,1
18,서울,1644271,706471,36048,141752,2528542,2022,2
19,부산,709000,348679,10921,56953,1125553,2022,2
20,대구,581952,280728,13989,45972,922641,2022,2
21,인천,811259,415260,11122,84263,1321904,2022,2
22,광주,310434,164619,4370,23002,502425,2022,2
23,대전,339407,152573,6459,23102,521541,2022,2
24,울산,295630,141508,2679,18740,458557,2022,2
25,세종,94042,46688,1787,10538,153055,2022,2
26,경기,3033068,1500952,31920,245585,4811525,2022,2
27,강원,362178,192706,5773,22973,583630,2022,2
28,충북,400959,203728,6039,24702,635428,2022,2
29,충남,520895,266661,7763,31228,826547,2022,2
30,전북,395490,223839,4891,24396,648616,2022,2
31,전남,460142,275580,7567,35505,778794,2022,2
32,경북,650581,316280,7886,35538,1010285,2022,2
33,경남,878095,414707,10016,52551,1355369,2022,2
34,제주,296010,160410,21591,28043,506054,2022,2
35,전국,11783413,5811389,190821,904843,18690466,2022,2
36,서울,1644198,705043,37258,144286,2530785,2022,3
37,부산,710930,346913,12224,59052,1129119,2022,3
38,대구,582584,280418,14398,47115,924515,2022,3
39,인천,814315,413716,11793,87396,1327220,2022,3
40,광주,310986,164829,4666,23530,504011,2022,3
41,대전,340028,152221,7041,23570,522860,2022,3
42,울산,296127,140696,2939,19119,458881,2022,3
43,세종,94365,46677,1926,10790,153758,2022,3
44,경기,3040649,1500468,35032,250927,4827076,2022,3
45,강원,363119,192705,6124,23470,585418,2022,3
46,충북,401767,203686,6892,25251,637596,2022,3
47,충남,522228,266762,8469,31915,829374,2022,3
48,전북,396136,223635,5575,24924,650270,2022,3
49,전남,461708,274467,8128,36861,781164,2022,3
50,경북,651513,316489,8453,36229,1012684,2022,3
51,경남,881601,413501,10576,54290,1359968,2022,3
52,제주,298526,159917,21817,29037,509297,2022,3
53,전국,11810780,5802143,203311,927762,18743996,2022,3
54,서울,1645418,703636,38610,147016,2534680,2022,4
55,부산,712835,345618,12885,61162,1132500,2022,4
56,대구,583605,279750,14832,48320,926507,2022,4
57,인천,817216,410363,12545,90274,1330398,2022,4
58,광주,311493,164131,4855,24091,504570,2022,4
59,대전,340660,151804,7867,24164,524495,2022,4
60,울산,296724,139790,3026,19593,459133,2022,4
61,세종,94704,46651,2026,11033,154414,2022,4
62,경기,3048539,1499937,37784,256614,4842874,2022,4
63,강원,364273,192229,6480,23997,586979,2022,4
64,충북,402780,203201,7456,25833,639270,2022,4
65,충남,523855,265916,8848,32663,831282,2022,4
66,전북,396916,223008,5845,25446,651215,2022,4
67,전남,464667,275484,8595,38153,786899,2022,4
68,경북,652730,315945,8932,36994,1014601,2022,4
69,경남,884504,412505,10974,56217,1364200,2022,4
70,제주,301692,159589,21991,30057,513329,2022,4
71,전국,11842611,5789557,213551,951627,18797346,2022,4
72,서울,1646425,702122,39856,149621,2538024,2022,5
73,부산,714917,344848,13348,63224,1136337,2022,5
74,대구,583845,279046,15466,49438,927795,2022,5
75,인천,819568,408833,13985,92640,1335026,2022,5
76,광주,311993,163680,5021,24695,505389,2022,5
77,대전,341234,151451,8343,24739,525767,2022,5
78,울산,297246,139154,3182,20108,459690,2022,5
79,세종,95090,46605,2135,11230,155060,2022,5
80,경기,3054716,1499591,40064,262192,4856563,2022,5
81,강원,365227,191793,6819,24603,588442,2022,5
82,충북,403539,202749,8026,26454,640768,2022,5
83,충남,525211,265386,9181,33463,833241,2022,5
84,전북,397356,222568,5988,26041,651953,2022,5
85,전남,467138,274822,8842,39488,790290,2022,5
86,경북,654075,314274,9365,37890,1015604,2022,5
87,경남,888016,411180,11617,58158,1368971,2022,5
88,제주,304308,158812,22170,31401,516691,2022,5
89,전국,11869904,5776914,223408,975385,18845611,2022,5
90,서울,1647874,700511,41161,151844,2541390,2022,6
91,부산,717064,344036,13800,65087,1139987,2022,6
92,대구,584418,278777,16217,50459,929871,2022,6
93,인천,821367,406522,15412,95073,1338374,2022,6
94,광주,312555,163404,5235,25239,506433,2022,6
95,대전,341828,151322,8565,25158,526873,2022,6
96,울산,297715,138800,3218,20587,460320,2022,6
97,세종,95300,46628,2205,11448,155581,2022,6
98,경기,3061359,1498685,42368,267070,4869482,2022,6
99,강원,366200,191618,7088,25053,589959,2022,6
