,지역,휘발유,경유,전기,하이브리드,합계,연도,월별
100,충북,404387,202384,8328,26990,642089,2022,6
101,충남,526460,265297,9596,34230,835583,2022,6
102,전북,398151,222465,6171,26611,653398,2022,6
103,전남,469749,275213,9083,40596,794641,2022,6
104,경북,654905,313517,9634,38678,1016734,2022,6
105,경남,891230,410410,12076,59910,1373626,2022,6
106,제주,305978,157375,22406,32708,518467,2022,6
107,전국,11896540,5766964,232563,996741,18892808,2022,6
108,서울,1649102,699197,42097,154005,2544401,2022,7
109,부산,718536,342610,14324,66855,1142325,2022,7
110,대구,585379,278633,16982,51523,932517,2022,7
111,인천,824378,404728,16325,97732,1343163,2022,7
112,광주,313018,163251,5493,25900,507662,2022,7
113,대전,342507,151368,9174,25656,528705,2022,7
114,울산,298194,138384,3057,21006,460641,2022,7
115,세종,95586,46663,2267,11647,156163,2022,7
116,경기,3068332,1497211,45025,272298,4882866,2022,7
117,강원,367380,191433,7455,25592,591860,2022,7
118,충북,405294,202325,8989,27574,644182,2022,7
119,충남,528271,265204,10063,35055,838593,2022,7
120,전북,398715,222313,6451,27086,654565,2022,7
121,전남,472880,275214,9851,41948,799893,2022,7
122,경북,656063,313343,10297,39418,1019121,2022,7
123,경남,895586,410213,12585,61931,1380315,2022,7
124,제주,308145,156442,22799,34176,521562,2022,7
125,전국,11927366,5758532,243234,1019402,18948534,2022,7
126,서울,1648502,697371,43463,155701,2545037,2022,8
127,부산,719311,341538,14863,68186,1143898,2022,8
128,대구,586003,278094,17472,52391,933960,2022,8
129,인천,826625,401932,17329,99913,1345799,2022,8
130,광주,313380,162988,5706,26431,508505,2022,8
131,대전,342685,151158,9811,26062,529716,2022,8
132,울산,298362,137971,3086,21346,460765,2022,8
133,세종,95704,46675,2336,11772,156487,2022,8
134,경기,3070295,1493849,47995,276270,4888409,2022,8
135,강원,368333,191337,7901,25983,593554,2022,8
136,충북,406080,202131,9404,28023,645638,2022,8
137,충남,529497,265032,10328,35652,840509,2022,8
138,전북,399129,221854,7080,27509,655572,2022,8
139,전남,474609,275318,10150,42694,802771,2022,8
140,경북,656905,313213,10714,40085,1020917,2022,8
141,경남,897944,409724,13303,63406,1384377,2022,8
142,제주,309689,155823,23126,35407,524045,2022,8
143,전국,11943053,5746008,254067,1036831,18979959,2022,8
144,서울,1648804,695709,45661,157544,2547718,2022,9
145,부산,720743,340324,15850,69580,1146497,2022,9
146,대구,586351,277384,18279,53175,935189,2022,9
147,인천,827843,398507,18808,101490,1346648,2022,9
148,광주,313949,162708,6023,27015,509695,2022,9
149,대전,343081,150842,10419,26601,530943,2022,9
150,울산,298662,137464,3359,21760,461245,2022,9
151,세종,95916,46599,2453,11935,156903,2022,9
152,경기,3075989,1492043,52106,281002,4901140,2022,9
153,강원,369494,191260,8249,26413,595416,2022,9
154,충북,406899,201919,9745,28538,647101,2022,9
155,충남,530748,264803,11033,36262,842846,2022,9
156,전북,399674,221549,7639,27940,656802,2022,9
157,전남,476590,275679,10645,43633,806547,2022,9
158,경북,655390,312117,11060,40633,1019200,2022,9
159,경남,899118,408884,14169,64910,1387081,2022,9
160,제주,310788,154878,23606,36425,525697,2022,9
161,전국,11960039,5732669,269104,1054856,19016668,2022,9
162,서울,1649071,693757,47063,159136,2549027,2022,10
163,부산,722823,339507,16856,70870,1150056,2022,10
164,대구,586794,276968,19067,53867,936696,2022,10
165,인천,821587,394582,20405,102408,1338982,2022,10
166,광주,314248,162414,6408,27496,510566,2022,10
167,대전,343336,150501,11007,26969,531813,2022,10
168,울산,299045,136994,3634,22196,461869,2022,10
169,세종,96124,46595,2602,12088,157409,2022,10
170,경기,3080047,1490453,55810,285416,4911726,2022,10
171,강원,370325,191114,8647,26785,596871,2022,10
172,충북,407696,201587,10157,29014,648454,2022,10
173,충남,532240,264579,11450,36837,845106,2022,10
174,전북,400078,221465,7830,28344,657717,2022,10
175,전남,487530,278369,11149,45448,822496,2022,10
176,경북,656736,311805,11508,41240,1021289,2022,10
177,경남,901415,408322,15238,66335,1391310,2022,10
178,제주,312194,153935,24338,37344,527811,2022,10
179,전국,11981289,5722947,283169,1071793,19059198,2022,10
180,서울,1649533,691866,48914,161892,2552205,2022,11
181,부산,724462,338426,17617,72639,1153144,2022,11
182,대구,588056,276523,19647,54867,939093,2022,11
183,인천,820603,389446,21993,103960,1336002,2022,11
184,광주,314854,162166,6674,28105,511799,2022,11
185,대전,343846,150337,11603,27511,533297,2022,11
186,울산,299740,136502,3715,22789,462746,2022,11
187,세종,96474,46601,2732,12261,158068,2022,11
188,경기,3088146,1488833,58828,291090,4926897,2022,11
189,강원,371547,190933,9044,27361,598885,2022,11
190,충북,408818,201415,10426,29626,650285,2022,11
191,충남,534210,264591,11879,37637,848317,2022,11
192,전북,401119,221242,7930,28961,659252,2022,11
193,전남,493190,278608,11636,47387,830821,2022,11
194,경북,658541,311550,12045,42111,1024247,2022,11
195,경남,904313,410754,16255,68481,1399803,2022,11
196,제주,313535,153059,25278,38309,530181,2022,11
197,전국,12010987,5712852,296216,1094987,19115042,2022,11
198,서울,1649883,689717,50768,164617,2554985,2022,12
199,부산,725975,337069,17709,74491,1155244,2022,12
200,대구,589102,275800,19675,55696,940273,2022,12
201,인천,822258,385121,22377,105743,1335499,2022,12
202,광주,315287,161897,6888,28815,512887,2022,12
203,대전,344400,150122,11905,28050,534477,2022,12
204,울산,300298,135838,3743,23356,463235,2022,12
205,세종,96754,46536,2789,12461,158540,2022,12
206,경기,3096878,1487683,60414,297231,4942206,2022,12
207,강원,372546,190694,9364,27868,600472,2022,12
208,충북,409659,201155,10595,30218,651627,2022,12
209,충남,535848,264430,12021,38436,850735,2022,12
210,전북,401996,221079,8018,29624,660717,2022,12
211,전남,494074,277396,12022,48714,832206,2022,12
212,경북,660064,311189,12312,43057,1026622,2022,12
213,경남,907015,413549,16872,70984,1408420,2022,12
214,제주,314117,152090,25789,39158,531154,2022,12
215,전국,12036154,5701365,303261,1118519,19159299,2022,12
