,지역,휘발유,경유,전기,하이브리드,합계,연도,월별
0,서울,1632668,722093,20737,114677,2490175,2021,1
1,부산,686582,353373,4388,38265,1082608,2021,1
2,대구,582065,295635,11236,34127,923063,2021,1
3,인천,800252,444148,4893,57023,1306316,2021,1
4,광주,304399,168247,2909,17120,492675,2021,1
5,대전,334765,156981,3738,17416,512900,2021,1
6,울산,288792,147063,2066,13874,451795,2021,1
7,세종,87678,45901,1138,7727,142444,2021,1
8,경기,2919375,1495862,18035,186099,4619371,2021,1
9,강원,347427,195225,3309,17450,563411,2021,1
10,충북,383996,203243,3309,18264,608812,2021,1
11,충남,501302,270589,4719,23223,799833,2021,1
12,전북,387467,227381,2838,18594,636280,2021,1
13,전남,421903,265028,4774,21109,712814,2021,1
14,경북,631450,320792,5448,26574,984264,2021,1
15,경남,847278,419228,5227,37245,1308978,2021,1
16,제주,266013,157462,18915,17832,460222,2021,1
17,전국,11423412,5888251,117679,666619,18095961,2021,1
18,서울,1632226,721183,20667,116393,2490469,2021,2
19,부산,687762,353532,4462,39248,1085004,2021,2
20,대구,582197,295702,11251,34819,923969,2021,2
21,인천,800698,441971,4947,58421,1306037,2021,2
22,광주,304537,168299,2895,17447,493178,2021,2
23,대전,334646,157029,3720,17752,513147,2021,2
24,울산,289098,146930,2059,14173,452260,2021,2
25,세종,88249,46073,1160,7924,143406,2021,2
26,경기,2928451,1497612,18228,189982,4634273,2021,2
27,강원,348419,195617,3313,17799,565148,2021,2
28,충북,385064,203658,3357,18670,610749,2021,2
29,충남,502570,271206,4720,23692,802188,2021,2
30,전북,388161,227860,2839,18961,637821,2021,2
31,전남,424569,267182,4833,22009,718593,2021,2
32,경북,632702,321728,5472,27182,987084,2021,2
33,경남,850162,420500,5276,38105,1314043,2021,2
34,제주,268145,157951,18848,18598,463542,2021,2
35,전국,11447656,5894033,118047,681175,18140911,2021,2
36,서울,1633040,719443,21793,118517,2492793,2021,3
37,부산,689310,352690,5214,40534,1087748,2021,3
38,대구,582912,295509,11335,35731,925487,2021,3
39,인천,802409,438905,5169,60600,1307083,2021,3
40,광주,304691,168486,2965,17945,494087,2021,3
41,대전,334571,157066,3915,18176,513728,2021,3
42,울산,289730,146768,2118,14509,453125,2021,3
43,세종,88635,46243,1239,8151,144268,2021,3
44,경기,2939106,1493815,19592,194593,4647106,2021,3
45,강원,349744,195591,3390,18238,566963,2021,3
46,충북,386430,203685,3524,19123,612762,2021,3
47,충남,504361,271674,4932,24325,805292,2021,3
48,전북,388938,228288,3026,19447,639699,2021,3
49,전남,427876,268719,5011,22915,724521,2021,3
50,경북,634868,322749,5646,27908,991171,2021,3
51,경남,853467,420496,5564,39296,1318823,2021,3
