,지역,휘발유,경유,전기,하이브리드,합계,연도,월별
52,제주,270629,158989,18919,19453,467990,2021,3
53,전국,11480717,5889116,123352,699461,18192646,2021,3
54,서울,1634823,717677,22084,120662,2495246,2021,4
55,부산,691532,352090,5375,42012,1091009,2021,4
56,대구,581601,293543,11333,36705,923182,2021,4
57,인천,803194,434349,5264,62818,1305625,2021,4
58,광주,305312,167349,2996,18364,494021,2021,4
59,대전,335338,157030,3983,18604,514955,2021,4
60,울산,290634,145836,2136,14824,453430,2021,4
61,세종,89057,46088,1261,8350,144756,2021,4
62,경기,2949921,1493846,20005,199037,4662809,2021,4
63,강원,351435,193676,3431,18693,567235,2021,4
64,충북,389762,203354,3537,19646,616299,2021,4
65,충남,506896,269722,5023,25020,806661,2021,4
66,전북,390056,226526,3103,19883,639568,2021,4
67,전남,433305,270870,5076,24096,733347,2021,4
68,경북,637127,321057,5713,28596,992493,2021,4
69,경남,857273,418692,5681,40482,1322128,2021,4
70,제주,273781,159161,18920,20388,472250,2021,4
71,전국,11521047,5870866,124921,718180,18235014,2021,4
72,서울,1635565,716694,23347,122775,2498381,2021,5
73,부산,693858,352092,5979,43506,1095435,2021,5
74,대구,582103,290476,11594,37723,921896,2021,5
75,인천,804738,431749,5570,64694,1306751,2021,5
76,광주,306011,166023,3190,18796,494020,2021,5
77,대전,336133,154558,4184,18988,513863,2021,5
78,울산,291253,144786,2239,15091,453369,2021,5
79,세종,89398,46061,1297,8510,145266,2021,5
80,경기,2958836,1494439,21741,202956,4677972,2021,5
81,강원,352653,193204,3641,19067,568565,2021,5
82,충북,391354,202749,3664,20100,617867,2021,5
83,충남,508646,268431,5222,25550,807849,2021,5
84,전북,390737,225413,3249,20285,639684,2021,5
85,전남,435890,271737,5217,24884,737728,2021,5
86,경북,639575,319179,5913,29233,993900,2021,5
87,경남,859429,417951,5967,41431,1324778,2021,5
88,제주,276749,159272,18963,21021,476005,2021,5
89,전국,11552928,5854814,130977,734610,18273329,2021,5
90,서울,1636698,715532,24884,124886,2502000,2021,6
91,부산,696113,351396,6836,45163,1099508,2021,6
92,대구,583458,289035,12028,38863,923384,2021,6
93,인천,806576,429549,6542,67205,1309872,2021,6
94,광주,306902,165191,3430,19290,494813,2021,6
95,대전,336786,153186,4715,19436,514123,2021,6
96,울산,292003,143988,2385,15467,453843,2021,6
97,세종,89750,46060,1347,8700,145857,2021,6
98,경기,2969082,1495228,24287,207608,4696205,2021,6
99,강원,353953,193017,3947,19510,570427,2021,6
100,충북,392807,202503,4049,20571,619930,2021,6
101,충남,510395,267804,5731,26135,810065,2021,6
102,전북,391596,224983,3655,20815,641049,2021,6
103,전남,439250,272136,5582,25818,742786,2021,6
104,경북,641215,318081,6293,29967,995556,2021,6
105,경남,861672,417821,6613,42567,1328673,2021,6
106,제주,279800,159665,19439,21751,480655,2021,6
107,전국,11588056,5845175,141763,753752,18328746,2021,6
108,서울,1641955,717344,25242,127468,2512009,2021,7
109,부산,698590,350829,7045,46682,1103146,2021,7
110,대구,579303,284843,12195,39511,915852,2021,7
111,인천,807476,426229,7098,69429,1310232,2021,7
112,광주,307638,164600,3534,19782,495554,2021,7
113,대전,337450,153122,4883,19964,515419,2021,7
114,울산,292557,143523,2387,15935,454402,2021,7
115,세종,90238,46075,1375,8945,146633,2021,7
116,경기,2979111,1496503,25568,212760,4713942,2021,7
117,강원,355258,192914,4141,20030,572343,2021,7
118,충북,395431,204771,4437,21348,625987,2021,7
119,충남,512022,267646,6211,26837,812716,2021,7
120,전북,392395,224847,3819,21247,642308,2021,7
121,전남,441898,272367,5818,27132,747215,2021,7
122,경북,642749,317719,6531,30750,997749,2021,7
123,경남,865429,418249,6998,43863,1334539,2021,7
124,제주,282595,160539,19667,22395,485196,2021,7
125,전국,11622095,5842120,146949,774078,18385242,2021,7
126,서울,1641258,715975,26990,129696,2513919,2021,8
127,부산,699916,350593,7658,48133,1106300,2021,8
128,대구,579408,284655,12516,40427,917006,2021,8
129,인천,807879,424722,7935,70878,1311414,2021,8
130,광주,308013,164646,3735,20233,496627,2021,8
131,대전,337572,152992,5319,20415,516298,2021,8
132,울산,292713,143154,2479,16309,454655,2021,8
133,세종,90479,46001,1430,9126,147036,2021,8
134,경기,2987009,1498103,27152,217693,4729957,2021,8
135,강원,355926,192763,4520,20376,573585,2021,8
136,충북,395945,204867,4828,21763,627403,2021,8
137,충남,512975,267328,6463,27384,814150,2021,8
138,전북,392870,224578,4019,21676,643143,2021,8
139,전남,443360,272389,6032,28224,750005,2021,8
140,경북,643554,317218,6871,31338,998981,2021,8
141,경남,866441,417566,7344,44893,1336244,2021,8
142,제주,284219,160863,19866,22964,487912,2021,8
143,전국,11639537,5838413,155157,791528,18424635,2021,8
144,서울,1642211,715306,29069,132065,2518651,2021,9
145,부산,699686,349152,8514,49465,1106817,2021,9
146,대구,579852,283014,12930,41421,917217,2021,9
147,인천,804159,421264,9010,72637,1307070,2021,9
148,광주,308330,164701,3920,20682,497633,2021,9
149,대전,337705,152895,5801,20864,517265,2021,9
150,울산,292839,142726,2572,16702,454839,2021,9
151,세종,90861,45938,1535,9356,147690,2021,9
152,경기,2993472,1499017,28366,222346,4743201,2021,9
153,강원,356804,192717,4807,20845,575173,2021,9
154,충북,396444,204807,5118,22235,628604,2021,9
155,충남,513868,267084,6785,27984,815721,2021,9
156,전북,392933,224308,4310,22100,643651,2021,9
157,전남,448576,274144,6333,29389,758442,2021,9
158,경북,644231,316911,7080,32022,1000244,2021,9
159,경남,867779,416961,7752,46071,1338563,2021,9
160,제주,285863,160900,20017,23832,490612,2021,9
161,전국,11655613,5831845,163919,810016,18461393,2021,9
162,서울,1641336,713082,30567,134233,2519218,2021,10
163,부산,700887,348752,8819,51033,1109491,2021,10
164,대구,580338,281613,13503,42458,917912,2021,10
165,인천,804006,418785,9639,74750,1307180,2021,10
166,광주,308764,164517,3939,21197,498417,2021,10
167,대전,337684,152592,6377,21315,517968,2021,10
168,울산,293287,142397,2571,17119,455374,2021,10
169,세종,91454,46036,1579,9614,148683,2021,10
170,경기,3000941,1497775,29522,227408,4755646,2021,10
171,강원,357813,192714,5236,21312,577075,2021,10
172,충북,397168,204373,5346,22855,629742,2021,10
173,충남,515176,266715,7207,28664,817762,2021,10
174,전북,393226,224049,4603,22580,644458,2021,10
175,전남,450430,274748,6506,30407,762091,2021,10
176,경북,645467,316427,7324,32810,1002028,2021,10
177,경남,869500,416258,8504,47382,1341644,2021,10
178,제주,287467,160617,20467,24864,493415,2021,10
179,전국,11674944,5821450,171709,830001,18498104,2021,10
180,서울,1642173,710906,33999,136303,2523381,2021,11
181,부산,703088,348395,9373,52490,1113346,2021,11
182,대구,580561,281058,13645,43434,918698,2021,11
183,인천,805733,417238,9866,77235,1310072,2021,11
184,광주,309363,164462,3965,21651,499441,2021,11
185,대전,338267,152492,6403,21772,518934,2021,11
186,울산,293927,142253,2532,17641,456353,2021,11
187,세종,91951,46034,1609,9828,149422,2021,11
188,경기,3009894,1497935,30363,232446,4770638,2021,11
189,강원,358979,192493,5451,21793,578716,2021,11
190,충북,398282,203909,5561,23351,631103,2021,11
191,충남,516667,266531,7398,29382,819978,2021,11
192,전북,394072,223848,4747,23085,645752,2021,11
193,전남,452678,274310,6627,31822,765437,2021,11
194,경북,647136,316089,7657,33559,1004441,2021,11
195,경남,871572,415712,9219,48639,1345142,2021,11
196,제주,289486,160512,21236,25885,497119,2021,11
197,전국,11703829,5814177,179651,850316,18547973,2021,11
198,서울,1642186,708501,35227,138015,2523929,2021,12
199,부산,705364,348159,9890,54427,1117840,2021,12
200,대구,581021,280631,13638,44442,919732,2021,12
201,인천,806846,416020,10863,79853,1313582,2021,12
202,광주,309802,164486,4091,22131,500510,2021,12
203,대전,338604,152452,6361,22193,519610,2021,12
204,울산,294481,141961,2542,18037,457021,2021,12
205,세종,92626,46257,1749,10069,150701,2021,12
206,경기,3018994,1498743,31115,237299,4786151,2021,12
207,강원,359817,192380,5755,22176,580128,2021,12
208,충북,399076,203629,5847,23773,632325,2021,12
209,충남,517995,266443,7442,30024,821904,2021,12
210,전북,394332,223659,4815,23546,646352,2021,12
211,전남,456170,276049,7245,33528,772992,2021,12
212,경북,648140,315841,7752,34212,1005945,2021,12
213,경남,873688,415061,9565,50133,1348447,2021,12
214,제주,291679,160479,21359,26790,500307,2021,12
215,전국,11730821,5810751,185256,870648,18597476,2021,12
