,연도,종류,평균가
0,2019,휘발유,1471.7354807692304
1,2019,경유,1340.035673076923
2,2020,휘발유,1382.1022115384617
3,2020,경유,1190.5285576923077
4,2021,휘발유,1588.5321153846153
5,2021,경유,1389.0724999999998
6,2022,휘발유,1814.9500961538465
7,2022,경유,1839.7550961538461
