,지역,휘발유,경유,전기,하이브리드,합계,연도,월별
77,대전,329818,157331,2863,13823,503835,2020,5
78,울산,283328,147410,1637,10873,443248,2020,5
79,세종,83232,43995,1022,5939,134188,2020,5
80,경기,2826339,1463543,14080,149851,4453813,2020,5
81,강원,337928,191358,2747,14383,546416,2020,5
82,충북,371968,201692,2914,14652,591226,2020,5
83,충남,488532,266977,3534,18679,777722,2020,5
84,전북,380811,224646,2372,15237,623066,2020,5
85,전남,402032,256625,4010,15997,678664,2020,5
86,경북,620225,314931,4546,21993,961695,2020,5
87,경남,819317,405527,4316,28936,1258096,2020,5
88,제주,252705,157865,18393,13261,442224,2020,5
89,전국,11133526,5815656,99273,535202,17583657,2020,5
90,서울,1622460,723307,17621,98057,2461445,2020,6
91,부산,675104,349149,3681,31062,1058996,2020,6
92,대구,570820,289518,11169,28117,899624,2020,6
93,인천,786680,454078,3528,46127,1290413,2020,6
94,광주,301320,167486,2733,14220,485759,2020,6
95,대전,331519,156519,2986,14277,505301,2020,6
96,울산,284655,147471,1969,11246,445341,2020,6
97,세종,83582,43905,1036,6149,134672,2020,6
98,경기,2845855,1466567,15045,154214,4481681,2020,6
99,강원,340124,192153,2853,14738,549868,2020,6
100,충북,374837,202089,3023,15063,595012,2020,6
101,충남,491673,267697,3737,19217,782324,2020,6
102,전북,382625,225083,2537,15598,625843,2020,6
103,전남,404996,257657,4196,16583,683432,2020,6
104,경북,622508,315717,4680,22515,965420,2020,6
105,경남,824711,406099,4521,29842,1265173,2020,6
106,제주,256192,158441,18655,13746,447034,2020,6
107,전국,11199661,5822936,103970,550771,17677338,2020,6
108,서울,1626729,723330,18198,100141,2468398,2020,7
109,부산,677589,349538,3782,31886,1062795,2020,7
110,대구,573001,290862,11265,28855,903983,2020,7
111,인천,790146,453052,3727,47560,1294485,2020,7
112,광주,302009,167833,2787,14554,487183,2020,7
113,대전,332324,156886,3063,14687,506960,2020,7
114,울산,285545,148286,1977,11542,447350,2020,7
115,세종,84022,44093,1047,6316,135478,2020,7
116,경기,2857515,1468842,15546,158199,4500102,2020,7
117,강원,341869,192886,2921,15081,552757,2020,7
118,충북,376651,202132,3088,15479,597350,2020,7
119,충남,493893,268346,3881,19742,785862,2020,7
120,전북,383748,225267,2635,15935,627585,2020,7
121,전남,407973,258364,4310,17057,687704,2020,7
122,경북,623941,316608,4802,22983,968334,2020,7
123,경남,827946,406593,4592,30716,1269847,2020,7
124,제주,260131,159273,18756,14302,452462,2020,7
125,전국,11245032,5832191,106377,565035,17748635,2020,7
126,서울,1626495,723810,19160,101481,2470946,2020,8
127,부산,678374,350247,3830,32505,1064956,2020,8
128,대구,575784,294830,11280,29330,911224,2020,8
129,인천,789827,450042,3990,48549,1292408,2020,8
130,광주,301608,167802,2859,14771,487040,2020,8
131,대전,331943,156890,3156,14944,506933,2020,8
132,울산,285759,147917,1992,11727,447395,2020,8
133,세종,84550,44319,1066,6431,136366,2020,8
134,경기,2864113,1472340,16204,160897,4513554,2020,8
135,강원,342674,193287,2985,15324,554270,2020,8
136,충북,377575,202114,3137,15719,598545,2020,8
137,충남,494204,268859,4038,20102,787203,2020,8
138,전북,383850,225672,2685,16223,628430,2020,8
139,전남,409222,259206,4435,17451,690314,2020,8
140,경북,624402,317187,4915,23299,969803,2020,8
141,경남,828598,407134,4696,31208,1271636,2020,8
142,제주,262215,159861,18843,14772,455691,2020,8
143,전국,11261193,5841517,109271,574733,17786714,2020,8
144,서울,1627368,724163,20215,103771,2475517,2020,9
145,부산,679937,351274,3883,33450,1068544,2020,9
146,대구,577702,296926,11367,30140,916135,2020,9
147,인천,791573,448668,4210,49685,1294136,2020,9
148,광주,302449,168418,2925,15226,489018,2020,9
149,대전,332503,157431,3379,15420,508733,2020,9
150,울산,286169,147651,2039,12105,447964,2020,9
151,세종,84811,44490,1089,6648,137038,2020,9
152,경기,2876212,1478843,17123,165985,4538163,2020,9
153,강원,343572,193721,3082,15755,556130,2020,9
154,충북,378843,202714,3213,16238,601008,2020,9
155,충남,495752,269450,4271,20672,790145,2020,9
156,전북,384652,226180,2732,16680,630244,2020,9
157,전남,411841,260525,4600,18179,695145,2020,9
158,경북,625496,317825,5077,23859,972257,2020,9
159,경남,830711,408515,4898,32090,1276214,2020,9
160,제주,264378,161458,18961,15458,460255,2020,9
161,전국,11293969,5858252,113064,591361,17856646,2020,9
162,서울,1627759,724273,20489,106106,2478627,2020,10
163,부산,681243,352253,3952,34362,1071810,2020,10
164,대구,578808,295788,11365,30968,916929,2020,10
165,인천,793553,448652,4281,51119,1297605,2020,10
166,광주,302796,168283,2930,15613,489622,2020,10
167,대전,332927,156884,3486,15891,509188,2020,10
168,울산,286605,147309,2048,12409,448371,2020,10
169,세종,85563,44937,1095,6894,138489,2020,10
170,경기,2886026,1483965,17356,170033,4557380,2020,10
171,강원,344459,194198,3098,16079,557834,2020,10
172,충북,380007,203104,3241,16625,602977,2020,10
173,충남,496890,269722,4363,21155,792130,2020,10
174,전북,385300,226462,2776,17086,631624,2020,10
175,전남,413376,260826,4644,18742,697588,2020,10
176,경북,626793,318493,5183,24389,974858,2020,10
177,경남,832732,409583,5041,33041,1280397,2020,10
178,제주,266145,162547,18982,15984,463658,2020,10
179,전국,11320982,5867279,114330,606496,17909087,2020,10
180,서울,1629809,724201,20690,109324,2484024,2020,11
181,부산,682646,352844,4277,35717,1075484,2020,11
182,대구,580167,295464,11373,32161,919165,2020,11
183,인천,796063,448227,4552,53237,1302079,2020,11
184,광주,303553,168262,2923,16160,490898,2020,11
185,대전,333417,156672,3704,16463,510256,2020,11
186,울산,287204,147204,2074,12944,449426,2020,11
187,세종,86364,45280,1116,7203,139963,2020,11
188,경기,2896889,1487202,17655,176015,4577761,2020,11
189,강원,345578,194720,3161,16606,560065,2020,11
190,충북,381384,203304,3272,17197,605157,2020,11
191,충남,498639,269832,4500,21979,794950,2020,11
192,전북,386344,226938,2807,17655,633744,2020,11
193,전남,415293,261408,4686,19446,700833,2020,11
194,경북,628336,319247,5313,25138,978034,2020,11
195,경남,835326,410548,5151,34267,1285292,2020,11
196,제주,268419,163267,18988,16737,467411,2020,11
197,전국,11355431,5874620,116242,628249,17974542,2020,11
198,서울,1631306,722122,20763,112467,2486658,2020,12
199,부산,684225,352712,4339,37100,1078376,2020,12
200,대구,581291,295319,11318,33333,921261,2020,12
201,인천,797870,446256,4849,55335,1304310,2020,12
202,광주,303856,167961,2917,16629,491363,2020,12
203,대전,333776,156630,3747,17002,511155,2020,12
204,울산,287804,146967,2077,13497,450345,2020,12
205,세종,86984,45569,1130,7485,141168,2020,12
206,경기,2907464,1489898,17909,181618,4596889,2020,12
207,강원,346343,194828,3308,17043,561522,2020,12
208,충북,382634,203101,3307,17766,606808,2020,12
209,충남,499896,269875,4722,22700,797193,2020,12
210,전북,386803,227026,2831,18200,634860,2020,12
211,전남,418771,262671,4754,20345,706541,2020,12
212,경북,629573,319772,5446,25913,980704,2020,12
213,경남,844190,418106,5203,36168,1303667,2020,12
214,제주,264330,157108,18996,17121,457555,2020,12
215,전국,11387116,5875921,117616,649722,18030375,2020,12
