,지역,휘발유,경유,전기,하이브리드,합계,연도,월별
0,서울,1606680,728277,14410,90618,2439985,2020,1
1,부산,663091,349304,3096,27707,1043198,2020,1
2,대구,561360,290857,10799,25354,888370,2020,1
3,인천,763921,455590,2591,39937,1262039,2020,1
4,광주,296054,167175,2438,12779,478446,2020,1
5,대전,325545,158152,2578,12600,498875,2020,1
6,울산,280620,148279,1441,10010,440350,2020,1
7,세종,81542,43646,903,5412,131503,2020,1
8,경기,2771609,1459464,11502,138782,4381357,2020,1
9,강원,332794,191453,2426,13421,540094,2020,1
10,충북,364071,201291,2394,13531,581287,2020,1
11,충남,480860,268895,2825,17366,769946,2020,1
12,전북,375578,226443,1851,14173,618045,2020,1
13,전남,396193,257613,3316,14520,671642,2020,1
14,경북,615575,315078,4059,20663,955375,2020,1
15,경남,807468,405283,3555,26295,1242601,2020,1
16,제주,248713,159050,18065,12336,438164,2020,1
17,전국,10971674,5825850,88249,495504,17381277,2020,1
18,서울,1606066,725825,15327,91267,2438485,2020,2
19,부산,663935,349786,3143,28043,1044907,2020,2
20,대구,561428,291183,10761,25559,888931,2020,2
21,인천,764405,453494,2686,40373,1260958,2020,2
22,광주,296261,167252,2441,12892,478846,2020,2
23,대전,325536,158327,2580,12708,499151,2020,2
24,울산,280572,148296,1438,10075,440381,2020,2
25,세종,82065,43917,925,5480,132387,2020,2
26,경기,2777610,1454314,12007,140138,4384069,2020,2
27,강원,333261,191669,2432,13519,540881,2020,2
28,충북,365124,201292,2416,13653,582485,2020,2
29,충남,481668,269117,2882,17483,771150,2020,2
30,전북,375666,226742,1868,14267,618543,2020,2
31,전남,396799,257355,3334,14822,672310,2020,2
32,경북,615964,315628,4101,20826,956519,2020,2
33,경남,809337,405844,3711,26571,1245463,2020,2
34,제주,249978,159560,18133,12549,440220,2020,2
35,전국,10985675,5819601,90185,500225,17395686,2020,2
36,서울,1608262,724607,15800,92623,2441292,2020,3
37,부산,665884,348238,3374,28613,1046109,2020,3
38,대구,562512,291490,10954,25965,890921,2020,3
39,인천,768596,452375,3057,41362,1265390,2020,3
40,광주,297142,167758,2562,13104,480566,2020,3
41,대전,326533,158863,2769,12929,501094,2020,3
42,울산,281110,148524,1547,10277,441458,2020,3
43,세종,82516,44126,1009,5607,133258,2020,3
44,경기,2792920,1456082,13406,142640,4405048,2020,3
45,강원,334714,190959,2590,13762,542025,2020,3
46,충북,367885,202443,2530,13961,586819,2020,3
47,충남,483300,268905,3198,17782,773185,2020,3
48,전북,376923,226313,2131,14500,619867,2020,3
49,전남,398361,256598,3802,15160,673921,2020,3
50,경북,616698,314836,4308,21071,956913,2020,3
51,경남,812435,404680,4123,27472,1248710,2020,3
52,제주,253036,160973,18130,12947,445086,2020,3
53,전국,11028827,5817770,95290,509775,17451662,2020,3
54,서울,1611725,723966,16010,94069,2445770,2020,4
55,부산,668604,348486,3528,29222,1049840,2020,4
56,대구,564493,292243,11022,26535,894293,2020,4
57,인천,778888,455448,3131,42921,1280388,2020,4
58,광주,298395,167801,2611,13432,482239,2020,4
59,대전,328009,158234,2826,13336,502405,2020,4
60,울산,282267,147922,1604,10570,442363,2020,4
61,세종,82875,44156,1016,5753,133800,2020,4
62,경기,2809945,1460941,13801,146198,4430885,2020,4
63,강원,336057,191007,2681,14065,543810,2020,4
64,충북,369715,201865,2806,14273,588659,2020,4
65,충남,485955,267099,3437,18223,774714,2020,4
66,전북,378915,224807,2292,14886,620900,2020,4
67,전남,399580,256211,3960,15542,675293,2020,4
68,경북,618218,314679,4462,21540,958899,2020,4
69,경남,815753,405220,4236,28188,1253397,2020,4
70,제주,249241,157091,18259,12781,437372,2020,4
71,전국,11078635,5817176,97682,521534,17515027,2020,4
72,서울,1616349,723477,16346,95844,2452016,2020,5
73,부산,671530,348723,3569,30122,1053944,2020,5
74,대구,567334,290198,11093,27301,895926,2020,5
75,인천,782301,453974,3188,44565,1284028,2020,5
76,광주,299777,167384,2643,13746,483550,2020,5
